序号, 活动量,光强 ,温度 ,声音强度
0001, 0254, 0000, 0026, 0049
0002, 0000, 0000, 0026, 0049
0003, 0257, 0000, 0026, 0049
0004, 0253, 0000, 0026, 0049
0005, 0262, 0000, 0026, 0049
0006, 0270, 0000, 0026, 0049
0007, 0215, 0000, 0026, 0049
0008, 0272, 0000, 0026, 0049
0009, 0268, 0000, 0026, 0049
0010, 0309, 0000, 0026, 0049
0011, 0510, 0000, 0026, 0049
0012, 0368, 0000, 0026, 0049
0013, 0209, 0000, 0026, 0049
0014, 0327, 0000, 0026, 0049
0015, 0471, 0000, 0026, 0049
0016, 0260, 0000, 0026, 0049
0017, 0246, 0000, 0026, 0049
0018, 0425, 0000, 0026, 0049
0019, 0275, 0000, 0026, 0049
0020, 0215, 0000, 0026, 0049
0021, 0298, 0000, 0026, 0049
0022, 0259, 0000, 0026, 0049
0023, 0195, 0000, 0026, 0049
0024, 0362, 0000, 0026, 0049
0025, 0306, 0000, 0026, 0049
0026, 0286, 0000, 0026, 0049
0027, 0273, 0000, 0026, 0049
0028, 0438, 0000, 0026, 0049
0029, 0305, 0000, 0026, 0049
0030, 0262, 0000, 0026, 0049
0031, 0239, 0000, 0026, 0049
0032, 0337, 0000, 0026, 0049
0033, 0361, 0000, 0026, 0049
0034, 0501, 0000, 0026, 0049
0035, 0237, 0000, 0026, 0049
0036, 0258, 0000, 0026, 0049
0037, 0335, 0000, 0026, 0049
0038, 0228, 0000, 0026, 0049
0039, 0215, 0000, 0026, 0049
0040, 0201, 0000, 0026, 0049
0041, 0233, 0000, 0026, 0049
0042, 0223, 0000, 0026, 0049
0043, 0268, 0000, 0026, 0049
0044, 0276, 0000, 0026, 0049
0045, 0206, 0000, 0026, 0049
0046, 0243, 0000, 0026, 0049
0047, 0252, 0000, 0026, 0049
0048, 0270, 0000, 0026, 0049
0049, 0254, 0000, 0026, 0049
0050, -003, -003, -003, -003
0051, 0000, 0000, 0026, 0067
0052, 0286, 0000, 0026, 0067
0053, 0268, 0000, 0026, 0067
0054, 0274, 0000, 0026, 0067
0055, 0274, 0000, 0026, 0068
0056, 0000, 0000, 0026, 0068
0057, 0000, 0000, 0026, 0067
0058, 0000, 0000, 0026, 0067
0059, 0000, 0000, 0026, 0068
0060, -002, -002, -002, -002
0061, 0298, 0000, 0026, 0049
0062, 0237, 0000, 0026, 0049
0063, 0273, 0000, 0026, 0049
0064, 0253, 0000, 0026, 0049
0065, 0208, 0000, 0026, 0049
0066, 0157, 0000, 0026, 0049
0067, 0186, 0000, 0026, 0049
0068, 0237, 0000, 0026, 0049
0069, 0212, 0000, 0026, 0049
0070, 0208, 0000, 0026, 0049
0071, 0220, 0000, 0026, 0049
0072, -003, -003, -003, -003
0073, 0000, 0000, 0026, 0068
0074, 0267, 0000, 0026, 0066
0075, 0277, 0000, 0026, 0066
0076, 0275, 0000, 0026, 0067
0077, 0000, 0000, 0026, 0067
0078, 0000, 0000, 0026, 0066
0079, -002, -002, -002, -002
0080, 0248, 0000, 0026, 0049
0081, 0272, 0000, 0026, 0049
